,gva_304,gva_309,gva_307,gva_203,gva_308,gva_REST,gva_total_sectoral
2017-Q1,473.2348882435487,310.09656949146625,329.28539152047904,90.02414074186834,76.63423188708984,303.1790817890853,1582.4543036735374
2017-Q2,915.9362469183839,314.92490224203084,335.4256718927179,90.98075869977038,147.04958622536788,309.25946914046494,2113.576635118736
2017-Q3,1209.6492851250262,319.1868743599435,334.8516822540806,89.55057607021757,194.38514572147085,313.87341098518755,2461.496974515926
2017-Q4,584.7434057130462,322.8817339065591,346.7204643327228,93.73292248814488,96.6863811660734,317.02017908526267,1761.785086691809
2018-Q1,514.1537314859133,326.0083074482312,345.3190164105506,98.16244554359581,87.35270691060278,318.698663332785,1689.6948711316786
2018-Q2,923.6154706197517,330.1024923565507,352.27745116627216,104.36245981502636,153.76767223391073,321.8064638512977,2185.9320100428095
2018-Q3,1254.9041007757176,335.16341198840706,349.0708964208647,105.18848621025091,207.47593937493838,326.3424603905743,2578.1452951607525
2018-Q4,630.1615901186236,341.19090820681055,352.42101200231315,108.68195843112859,109.37345048055025,332.30590442534304,1874.134823664769
2019-Q1,534.9765595661795,348.18554126336056,358.74319390350973,109.19731770614212,94.8646324397186,339.6964189604655,1785.663663839376
2019-Q2,975.4592066641985,352.065783354349,362.8754617183593,107.3850657244221,165.92125017832063,341.8673865206597,2305.5741541603093
2019-Q3,1303.3972853119171,352.8305988279731,365.87436727253765,113.37398973934313,219.8286068874213,338.81744302069205,2694.1222910598844
2019-Q4,686.2911074577098,350.47663655431666,377.4712241055938,117.42791783009369,124.67013949454123,330.5438654981841,1986.8808909404393
2020-Q1,555.4629234101075,344.99822743468906,375.52453224625225,115.83467038542314,107.25147547296507,317.0425714048938,1816.1144003543307
2020-Q2,402.26534511869426,343.7545423893806,354.6909925618587,112.34363773977822,86.22721032749732,309.0685857332084,1608.3503138704173
2020-Q3,876.3747282554341,346.7407375108991,372.78156067253735,116.81743309654814,164.54449753482524,306.6179039114139,2183.876860981658
2020-Q4,481.6447032157649,353.95511266503064,374.6704945193513,118.15379877825076,105.1263566647133,309.687958950484,1743.238424793595
2021-Q1,385.25764662259564,365.3991102272496,359.7970562977904,118.0687266030102,92.9232237006932,318.2776207759563,1639.7233842272954
2021-Q2,564.0891218030997,374.5812346217671,373.76414752711867,126.9677927377723,124.59738336921366,328.0536362392314,1892.0533162982028
2021-Q3,1068.8580972715329,381.50439071406635,387.01622254724407,117.54019289121553,208.18603121555267,339.0166206654976,2502.1215553051093
2021-Q4,695.5733063027787,386.1698044369163,403.3760816278474,126.39232776800361,152.9067257145427,351.16749831931605,2115.5857441694047
2022-Q1,644.0651675810323,388.5770237015227,404.5129948962579,133.91214116834368,148.8833417169833,364.50750264518484,2084.4581717093247
2022-Q2,1119.563422220474,392.6596939685922,414.46236327021893,153.67065331642715,226.9396762007563,381.55315068568603,2688.8489596621544
2022-Q3,1455.6974798909282,398.4169300369887,402.40021110023474,163.40825209589642,281.48383272122004,402.30694987591494,3103.713655721183
2022-Q4,894.6908413075712,405.8490912928959,395.21545873328887,170.77473341933404,192.43971536104195,426.7723727932157,2485.742212907348
2023-Q1,827.9892718005389,414.9577819769237,392.6033125009792,170.2510947335437,180.29389790623551,454.9538580610089,2441.0492169792296
2023-Q2,1257.163666846393,424.14034665694874,388.9156487607209,173.97486159729647,247.58293363244556,477.63886828775304,2969.4163257815576
2023-Q3,1544.3624776523998,433.3996905256868,389.0423043750542,175.40419327790514,293.2336679016238,494.8313786984151,3330.2737124310847
2023-Q4,1021.1932037006724,442.7387758404404,406.5354693632458,182.58080539125547,211.3335555596966,506.53393495282194,2770.9157448081323
2024-Q1,948.6426590679794,452.16062412473605,400.9241157241309,185.4185512965884,201.69693988346606,512.7476538082311,2701.5905439051317
2024-Q2,1353.7417013000015,460.5098229360285,423.8952946837544,188.56739674608446,267.2183728812418,519.2274142142222,3213.160002761333
2024-Q3,1636.6893335035038,467.7886580846292,433.05198423389953,192.3498894437795,312.85434517978905,525.9729735603462,3568.707184005947
2024-Q4,1089.1204061285184,473.9986198546056,447.23403035821514,192.87168751354852,226.35836705550435,532.984158417202,2962.5672693275937
